english|french
'24-carat' sword|Épée « 24 carats »
'perfect' gold bar|Lingot d'or « parfait »
'perfect' gold ore|Minerai d'or « parfait »
'perfect' necklace|Collier « parfait »
'perfect' ring|Bague « parfaite »
1/3rds full jug|Cruche remplie aux 1/3
1/5ths full bucket|Seau rempli aux 1/5
10th birthday balloons|Ballons du 10e anniversaire
10th birthday cape|Cape du 10e anniversaire
10th squad sigil|Sceau de la 10e escouade
18lb shot|Balle de 18 livres
2/3rds full jug|Cruche remplie aux 2/3
2/5ths full bucket|Seau rempli aux 2/5
20th anniversary boots|Bottes du 20e anniversaire
20th anniversary bottom|Bas du 20e anniversaire
20th anniversary cape|Cape du 20e anniversaire
20th anniversary gloves|Gants du 20e anniversaire
20th anniversary hat|Chapeau du 20e anniversaire
20th anniversary necklace|Collier du 20e anniversaire
20th anniversary top|Haut du 20e anniversaire
22lb shot|Balle de 22 livres
3/5ths full bucket|Seau rempli aux 3/5
3rd age amulet|Amulette du 3e âge
3rd age axe|Hache du 3e âge
3rd age bow|Arc du 3e âge
3rd age cloak|Cape du 3e âge
3rd age druidic cloak|Cape druidique du 3e âge
3rd age druidic robe bottoms|Bas de robe druidique du 3e âge
3rd age druidic robe top|Haut de robe druidique du 3e âge
3rd age druidic staff|Bâton druidique du 3e âge
3rd age felling axe|Hache d'abattage du 3e âge
3rd age full helmet|Casque complet du 3e âge
3rd age kiteshield|Bouclier en forme de cerf-volant du 3e âge
3rd age longsword|Épée longue du 3e âge
3rd age mage hat|Chapeau de mage du 3e âge
3rd age pickaxe|Pioche du 3e âge
3rd age platebody|Cuirasse du 3e âge
3rd age platelegs|Jambières du 3e âge
3rd age plateskirt|Jupe du 3e âge
3rd age range coif|Coiffe du 3e âge
3rd age range legs|Jambières de tir à distance du 3e âge
3rd age range top|Haut de tir à distance du 3e âge
3rd age robe|Robe du 3e âge
3rd age robe top|Haut de robe du 3e âge
3rd age vambraces|Brassards du 3e âge
3rd age wand|Baguette magique du 3e âge
4-poster|Lit à baldaquin
4/5ths full bucket|Seau rempli aux 4/5
4th birthday hat|Chapeau d'anniversaire 4 ans
5-gallon jug|Bidon de 5 gallons
8-gallon jug|Bidon de 8 gallons
9mm revolver|Revolver 9 mm
??? mixture|Mélange ???
a big present|Un gros cadeau
a chair|Une chaise
a container|Un récipient
a dark disposition|Un caractère sombre
a dear friend|Un ami cher
a eyeglo null|Un eyeglo null
a handwritten book|Un livre manuscrit
a jester stick|Un bâton de bouffon
a magic scroll|Un parchemin magique
a nice key|Une jolie clé
a pattern|Un motif
a powdered wig|Une perruque poudrée
a scribbled note|Une note griffonnée
